no,short code,feature,value,score
1,FC,Number of Followers count,10000,1
2,TC,number of tweets posted count,10000,1
3,VT,user profile verified from twitter,verifired,1
4,REC,number of retweet count,1,1
5,FCP,number of favourites count for post,10,1
6,NV,same screen name and user name,same name,0
7,BE,user bio is not empty,not empty,1
8,TL,tweet location is not empty,not empty,1
9,DT,user account created date and tweet posted time is not similer,not similer,1
10,TT,tweet type ,retweet,1
11,UF,user following > user followers,,1
12,sc,Statuses Count,1000,1
